hate_speech,counter_narrative,cn_id,hs_type,hs_subtype,cn_type,opposition,relatedness,specificity,toxicity,fluency
The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",ENT1ST0001HS0046CN000018P2,Islamophobia,crimes,humor,4,4,2,4,5
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,ENT1ST0001HS0046CN000019,Islamophobia,crimes,facts,2,3,2,4,4
Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,ENT1ST0001HS0046CN000019P1,Islamophobia,crimes,facts,2,2,2,4,4
The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,ENT1ST0001HS0046CN000019P2,Islamophobia,crimes,facts,4,3,2,4,4
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,ENT1ST0001HS0046CN000020,Islamophobia,crimes,denouncing,5,5,2,4,5
Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,ENT1ST0001HS0046CN000020P1,Islamophobia,crimes,denouncing,5,5,2,4,5
The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,ENT1ST0001HS0046CN000020P2,Islamophobia,crimes,denouncing,5,5,2,4,5
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",ENT1ST0001HS0054CN000058,Islamophobia,crimes,facts,5,5,4,1,5
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",ENT1ST0001HS0054CN000058P1,Islamophobia,crimes,facts,5,5,4,5,5
"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",ENT1ST0001HS0054CN000058P2,Islamophobia,crimes,facts,5,5,4,1,4
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?,ENT1ST0001HS0054CN000059,Islamophobia,crimes,question,4,5,2,5,5
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,ENT1ST0001HS0054CN000059P1,Islamophobia,crimes,question,4,5,3,5,5
"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",Is this true? Where is your source?,ENT1ST0001HS0054CN000059P2,Islamophobia,crimes,question,4,5,2,5,5
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,ENT1ST0001HS0054CN000060,Islamophobia,crimes,"hypocrisy , question",4,5,3,4,5
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,ENT1ST0001HS0054CN000060P1,Islamophobia,crimes,"hypocrisy , question",4,5,3,4,5
"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,ENT1ST0001HS0054CN000060P2,Islamophobia,crimes,"hypocrisy , question",4,5,3,4,5
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",ENT1ST0001HS0054CN000061,Islamophobia,crimes,facts,4,4,2,4,4
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",ENT1ST0001HS0054CN000061P1,Islamophobia,crimes,facts,4,3,2,5,4
"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",ENT1ST0001HS0054CN000061P2,Islamophobia,crimes,facts,4,4,2,4,4
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,ENT1ST0001HS0074CN000062,Islamophobia,crimes,"facts , hypocrisy",5,5,4,5,5
"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,ENT1ST0001HS0074CN000062P1,Islamophobia,crimes,"facts , hypocrisy",4,4,3,4,5
"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,ENT1ST0001HS0074CN000062P2,Islamophobia,crimes,"facts , hypocrisy",4,4,3,4,5
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,ENT1ST0001HS0074CN000063,Islamophobia,crimes,facts,4,4,2,5,5
"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,ENT1ST0001HS0074CN000063P1,Islamophobia,crimes,facts,4,4,2,5,5
