hate_speech,counter_narrative,target,opposition,relatedness,specificity,toxicity,fluency
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.","Jews, like any other community, live in diverse neighborhoods and contribute positively to society. The idea that they control housing policies is a baseless stereotype. Let's focus on building inclusive communities rather than spreading unfounded myths.",JEWS,5,5,4,5,5
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"Claiming that minorities and Jewish people are orchestrating a plot to strip wealth and power is not only baseless but also a tired conspiracy theory with no grounding in reality. In truth, diverse communities contribute to the richness of society and work towards equality and justice for all. Let's focus on building a future where everyone, regardless of background, has the opportunity to thrive.",JEWS,5,5,4,5,5
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7","Blaming Jews for these events is not only historically inaccurate but also perpetuates harmful stereotypes. The USS Liberty incident was a tragic mistake acknowledged by both the U.S. and Israel, and the other events were carried out by different groups with no connection to Jewish communities. Let's focus on facts and work towards understanding rather than spreading baseless accusations.",JEWS,5,5,4,5,5
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.","Imagining secret meetings and grand conspiracies might make for a thrilling novel, but in reality, people in Jerusalem, like anywhere else, are just trying to live their lives in peace. Let's focus on building bridges and understanding rather than spreading unfounded fears.",JEWS,5,5,4,5,5
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,"Imagining a world where baseless conspiracy theories replace facts is quite the plot twist, isn't it? Let's stick to reality: our leaders come from diverse backgrounds and are held accountable by democratic processes, not wild fantasies.",JEWS,5,5,4,5,5
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Blaming an entire group for political outcomes is not only inaccurate but also harmful. Brexit was a decision made by millions of voters in the UK, not influenced by any single community. Let's focus on constructive dialogue and understanding rather than spreading unfounded conspiracy theories.",JEWS,5,5,4,5,5
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","Imagine thinking that loyalty to one's faith or heritage makes someone an outsider—sounds like a plot twist from a bad movie! In reality, American Jews and Muslims contribute richly to the cultural tapestry of the nation, embracing diversity and unity. Maybe it's time to celebrate our differences instead of fearing them.",other,5,5,3,5,5
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children about diverse relationships from a young age fosters understanding and acceptance, not confusion. Isn't it better to equip kids with knowledge that helps them respect others and develop empathy? Education is about broadening minds, not closing them off.",LGBT+,5,5,4,5,5
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Working with organizations like Tell Mama, CST, and Stop Hate UK to tackle online harms is about creating a safer internet for everyone, not censorship. Isn't it great that efforts are being made to protect people from hate and misinformation? It's almost like promoting kindness and truth is a good thing!",other,5,5,4,5,5
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),"Celebrating love and equality is hardly ""state-enforced"" anything—it's about recognizing everyone's right to love who they choose. Isn't it more of an achievement to embrace diversity and acceptance rather than clinging to outdated prejudices? Let's trust in compassion and understanding instead.",LGBT+,5,5,4,5,5
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","Women have proven time and again that they belong in politics, bringing diverse perspectives and solutions that benefit everyone. If equality is a lie, then why do societies with gender equality tend to be more prosperous and peaceful? Maybe it's time to rethink who the real cowards are—those who fear change or those who embrace it for the betterment of all?",WOMEN,5,5,4,5,5
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"Imagine thinking that population size determines the value of a culture or people. Diversity is what makes our world vibrant and rich, not something to laugh at. Embracing different ethnicities only strengthens our global community.",MIGRANTS,5,5,4,5,5
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","Homelessness is a complex issue influenced by factors like economic inequality and lack of affordable housing, not just immigration. Blaming immigrants oversimplifies the problem and distracts from finding real solutions. Let's focus on policies that support everyone in need, regardless of where they come from.",MIGRANTS,5,5,4,5,5
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.","Pure bloodlines? Sounds like a plot from a bad sci-fi movie. Maybe instead of worrying about imaginary threats, we could focus on building a world where everyone thrives together.",WOMEN,5,4,3,5,5
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Blaming an entire group for decisions made by a few individuals is like saying all Italians control the pizza industry. Hollywood is a diverse place with people from all backgrounds contributing to its success. Let's celebrate the creativity and talent that make movies great, rather than spreading unfounded stereotypes.",JEWS,5,5,4,5,5
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Funny how the survival of civilization is suddenly at risk because women are making choices about their own lives. Maybe it's time to appreciate that a thriving society is built on equality and respect, not just reproduction.",WOMEN,5,5,4,5,5
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,"Survivors are living testaments to the resilience of the human spirit, not evidence of failure. The Holocaust was a horrific tragedy that claimed the lives of six million Jews, and the presence of survivors is a reminder of the strength and courage it took to endure such unimaginable suffering.",JEWS,5,5,4,5,5
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","Claiming the Holocaust is a ""business"" ignores the immense suffering and loss of six million Jews and millions of others. Reparations are about acknowledging historical wrongs and ensuring such atrocities never happen again. Criticism is welcome, but it should be based on facts, not harmful myths.",JEWS,5,5,4,5,5
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,"So, civilization hinges on women having babies? That's a lot of pressure! Maybe it's time to appreciate the diverse contributions women make beyond just procreation.",WOMEN,4,4,3,5,5
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),Drag queens reading to children are not demons; they're performers promoting literacy and acceptance. Isn't it amazing how a little glitter and storytelling can spark so much fear? Maybe it's time to embrace diversity instead of demonizing it.,LGBT+,5,5,4,5,5
The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,"Jews, like people from any nation, have diverse opinions and values, and it's a myth that they control migration policies. Europe’s demographic changes are influenced by complex socio-economic factors, not a secret Jewish agenda. Let's focus on building communities based on mutual respect and understanding rather than unfounded conspiracy theories.",JEWS,5,5,4,5,5
Must be hard being gay. They have to do everything we do but also find the time to molest children.,"Accusing an entire community of such heinous acts is not only false but deeply harmful. Being gay has nothing to do with criminal behavior, just like being straight doesn't automatically make someone a saint. Let's focus on spreading love and understanding instead of baseless accusations.",LGBT+,5,5,4,5,5
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)","Homelessness is a complex issue influenced by factors like economic inequality and lack of affordable housing, not immigration. Blaming immigrants oversimplifies the problem and distracts from finding real solutions. Let's focus on policies that support everyone in need, regardless of where they come from.",MIGRANTS,5,5,4,5,5
The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,"Blaming an entire group for complex immigration policies is like blaming your neighbor for the weather—neither makes sense nor solves anything. America’s diversity is its strength, and no single group controls it. Let’s focus on building communities based on understanding and respect rather than unfounded conspiracy theories.",JEWS,5,5,4,5,5
We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Ah yes, because societies were thriving so well before women could vote, right? Funny how the most successful and peaceful nations today are those where women actively participate in democracy and leadership. Maybe it's time to appreciate the strength and balance that diversity brings to civilization.",WOMEN,5,5,4,5,5
The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"Blaming the ""liberal left"" for overcrowding is like blaming the weather for your bad hair day. Migration is a complex issue driven by global factors, and everyone deserves humane treatment regardless of their status. Let's focus on solutions that respect human dignity and international law.",MIGRANTS,5,5,4,5,5
The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.,"Prisons are overcrowded due to systemic issues, not because of migrants. Welcoming immigrants, regardless of their status, enriches our communities and economies. Let's focus on reforming the justice system rather than scapegoating those seeking a better life.",MIGRANTS,5,5,4,5,5
The goods that England offers should belong to us. Not to people who do not contribute to the state,"Ever considered that the strength of a nation lies in its diversity and the contributions of all its people, regardless of origin? Many individuals from diverse backgrounds contribute significantly to the economy and culture, enriching society as a whole. Sharing resources and opportunities benefits everyone and fosters a more inclusive and prosperous community.",MIGRANTS,5,5,4,5,5
"The British people should use those houses, not immigrants.","Immigrants contribute significantly to the economy and society, often revitalizing communities and filling essential roles. Housing should be based on need and availability, not nationality. Let's focus on building inclusive communities where everyone has a place to call home.",MIGRANTS,5,5,4,5,5
Immigrants just don't want to integrate. Let's kick them out!,"Integration is a two-way street, and many immigrants are eager to contribute and connect with their communities. Did you know that immigrants often start businesses at higher rates than native-born citizens, boosting local economies and creating jobs? Instead of pushing them away, let's celebrate the diversity and strength they bring to our society.",MIGRANTS,5,5,4,5,5
I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,"Paying taxes is a legal obligation for everyone, regardless of their background, and the vast majority do so diligently. It's a bit ironic to assume otherwise without any evidence, don't you think?",MIGRANTS,4,5,4,5,5
I hope you're joking .. I don't think it's right to put out-of-rule migrants in homes that should be made available to British people.,"Imagine a world where compassion and support for those in need, regardless of their origin, strengthens our communities. Housing is a complex issue, and blaming migrants oversimplifies the problem without addressing the real challenges. Let's focus on solutions that benefit everyone, ensuring fair access to housing for all residents.",MIGRANTS,5,5,4,5,5
"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.","Migrants contribute significantly to the economy, often taking on essential roles that keep our communities running smoothly. Instead of stealing pensions, many are actually helping to fund them through taxes. It's amazing how hard work and dedication can be so easily overlooked!",MIGRANTS,5,5,4,5,5
"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.","Supporting those in need doesn't mean neglecting others; it's about creating a society where everyone, including veterans and seniors, can thrive. Investing in people often leads to a stronger community for all. Let's focus on solutions that uplift everyone rather than pitting groups against each other.",MIGRANTS,5,5,4,5,5
Are you saying that we should put illegal immigrants in houses? You have to be kidding!,"Imagine thinking that providing shelter to people in need is a bad idea. Housing is a basic human right, and supporting those who are vulnerable benefits society as a whole. Let's focus on compassion and solutions rather than fear and division.",MIGRANTS,5,5,4,5,5
Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,"Imagine thinking that innovation and progress can thrive without diverse perspectives and skills. Our healthcare and tech industries benefit immensely from global talent, and closing doors only limits our potential. Embracing migration enriches our society and economy, creating a vibrant future for everyone.",MIGRANTS,5,5,4,5,5
"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we don't need others from foreign countries.","Brittany's strength lies in its diversity, and welcoming skilled professionals from around the world only enriches our community and drives innovation. It's not about replacing local talent but enhancing our collective potential. After all, who wouldn't want the best of both worlds?",MIGRANTS,5,5,4,5,5
"Honestly, it is not convenient for colored people to work in European countries.","Europe thrives on diversity, and people of all backgrounds contribute to its success. Many individuals from diverse ethnicities hold key roles in various sectors, proving that talent and hard work know no color. Embracing multiculturalism enriches societies and drives innovation.",MIGRANTS,5,5,4,5,5
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,"The NHS has always relied on the dedication of diverse staff, and migration has only strengthened its ability to provide care. Before the 1990s, the NHS still benefited from international workers, just in different numbers and contexts. It's not about surviving without migration; it's about thriving with the talents and contributions of people from all backgrounds.",MIGRANTS,5,5,4,5,5
"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?","Investing in humanitarian efforts like rescuing migrants reflects the UK's commitment to human rights and compassion, not financial scandal. Isn't it reassuring to know our taxes support saving lives and upholding our values?",MIGRANTS,5,5,4,5,5
"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","The NHS has always relied on the dedication and hard work of a diverse workforce, including migrants, who have been essential in providing care and saving lives. Before the 90s, the NHS faced significant challenges and shortages, which were alleviated by welcoming skilled professionals from around the world. It's worth remembering that healthcare thrives on diversity and collaboration, not isolation.",MIGRANTS,5,5,4,5,5
"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?","Investing in humanitarian efforts like rescuing migrants reflects our shared values of compassion and responsibility. Isn't it reassuring to know that our taxes are being used to save lives and uphold human dignity? Addressing financial scandals is important, but let's not confuse them with acts of humanity.",MIGRANTS,5,5,4,5,5
You probably haven't seen the vids where these retarded Muslims are killing dogs with acid.,"Imagine believing everything you see on the internet without checking facts first. Muslims, like people of all faiths, have diverse beliefs and practices, and it's unfair to generalize based on misinformation. Let's focus on building bridges and understanding rather than spreading baseless hate.",MUSLIMS,5,5,4,5,5
Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!,"Claiming an entire group has a ""bad reputation"" based on a video is like saying all dog owners are bad because one person mistreated a pet. Let's focus on understanding and celebrating the diverse contributions of Muslims worldwide instead.",MUSLIMS,5,5,4,5,5
Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,"Dogs are walked in public all over the world, including in many Muslim-majority countries, without any issue. It's important to remember that personal preferences don't equate to religious mandates. Let's focus on respecting each other's choices and living harmoniously.",MUSLIMS,4,5,4,5,5
Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,"Imagine a world where respecting diverse cultures and beliefs is seen as a strength rather than a threat. Sharia law is a personal religious guideline for Muslims, not a demand for others to change their way of life. Let's celebrate our differences and coexist peacefully, dogs and all!",MUSLIMS,5,5,4,5,5
Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,"Claiming that all Muslims are misogynist ignores the diverse beliefs and practices within the Muslim community, just like assuming all apples taste the same. Many Muslim-majority countries have women in leadership roles, challenging stereotypes and promoting gender equality.",MUSLIMS,5,5,4,5,5
Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,Labeling an entire culture based on stereotypes is like judging a book by its cover—completely missing the rich stories inside. Many Muslim communities actively promote gender equality and have empowered countless women leaders. Maybe it's time to update those outdated assumptions and embrace a more nuanced view of the world.,MUSLIMS,5,5,4,5,5
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"The ""Protocols of the Elders of Zion"" is a debunked hoax and a tool of antisemitic propaganda. Believing in such fabrications only spreads hate and misinformation. Let's focus on building understanding and respect instead of clinging to harmful myths.",JEWS,5,5,4,5,5
Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"The ""Protocols of the Elders of Zion"" is a debunked hoax, much like believing the moon is made of cheese. Let's focus on building understanding and unity instead of spreading outdated myths.",JEWS,5,5,4,5,5
I hate Jews,"Jews have contributed immensely to science, culture, and society; hating them is like hating progress itself.",JEWS,5,5,4,5,5
I hate those fucking rasta nigga,"Imagine hating someone for their hairstyle and culture—sounds exhausting, doesn't it? Embracing diversity makes life a lot more colorful and interesting. Let's celebrate individuality instead of spreading negativity.",POC,5,5,4,5,5
I hate gays,"Love is love, and everyone deserves to be who they are without fear or hate. Imagine a world where kindness and acceptance are the norm—wouldn't that be a better place for all of us? Embracing diversity enriches our lives and strengthens our communities.",LGBT+,5,5,4,5,5
Jews are a disease for our society,"Labeling any group as a ""disease"" is not only factually incorrect but also deeply harmful. Jewish communities have contributed immensely to society in fields like science, art, and social justice. Let's celebrate diversity and the positive impact it brings to our world.",JEWS,5,5,4,5,5
Also God hates gays,"Love is a core teaching in many faiths, and it's important to remember that everyone deserves respect and kindness. God’s love is often described as unconditional, embracing all people regardless of who they love. Let's focus on spreading compassion and understanding instead.",LGBT+,5,5,4,5,5
I hate Jews they want to rule the world.,"Jews, like any other group, are diverse individuals with their own dreams and challenges, not a secret world domination club. Maybe it's time to swap conspiracy theories for some real-life facts and empathy.",JEWS,5,5,4,5,5
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.","Equating women's rights advocacy with Nazism is not only absurd but also deeply disrespectful to the victims of real atrocities. Women seeking equality are striving for fairness and justice, not hatred or oppression. Let's focus on building a society where everyone, regardless of gender, is treated with respect and dignity.",WOMEN,5,5,4,5,5
I hate negros: they killed a cop!,"Blaming an entire race for the actions of individuals is not only unfair but also perpetuates harmful stereotypes. Let's focus on justice for the crime committed, not on spreading hate. Remember, unity and understanding are far more powerful than division.",POC,5,5,4,5,5
Fucking illegal immigrants: we must kill them if they try to enter our country.,"Imagine thinking violence is the solution when history shows us that compassion and understanding build stronger communities. Immigrants contribute significantly to our society, from boosting the economy to enriching our culture. Maybe it's time to focus on building bridges instead of walls.",MIGRANTS,5,5,4,5,5
"Jews are good with money because they are cheap, greedy, and materialistic.","Stereotyping an entire group based on outdated clichés is not only inaccurate but also harmful. Jewish communities, like any other, are diverse and contribute to society in countless ways beyond financial success. Let's celebrate diversity and focus on the individual achievements and values that truly define people.",JEWS,5,5,4,5,5
Jews are welthy because they are naturally good with money.,"Wealth isn't determined by ethnicity; it's shaped by a mix of opportunities, education, and hard work. Stereotyping an entire group based on outdated myths only spreads ignorance. Let's celebrate diversity and the unique contributions everyone brings to society.",JEWS,5,5,4,5,5
"Jews are selfish, cheap and greedy.","Imagine thinking an entire community can be summed up by outdated stereotypes. Jewish people, like anyone else, are diverse and contribute immensely to society in countless ways, from science to the arts. Let's celebrate individuality and the rich cultural heritage they bring to the world.",JEWS,5,5,4,5,5
Jew merchants are just a bunch of crooks.,"Labeling an entire group based on stereotypes is not only unfair but also inaccurate. Many Jewish individuals have made significant contributions to society in various fields, including business, science, and the arts, with integrity and dedication. Let's celebrate diversity and recognize the value each person brings to the table.",JEWS,5,5,4,5,5
Jews are born greedy,"Greed isn't a trait determined by one's ethnicity; it's a human behavior found across all cultures and communities. Jews, like anyone else, are individuals with diverse personalities and values. Let's celebrate diversity and focus on the kindness and contributions people bring to the world.",JEWS,5,5,4,5,5
Jewish landlords are greedy and exploit their tenants.,"Stereotyping an entire group based on the actions of a few is not only unfair but also misleading. Landlords, regardless of their background, have diverse practices and motivations. Let's focus on individual actions rather than perpetuating harmful generalizations.",JEWS,5,5,4,5,5
Jews are cheap.,"Stereotyping an entire group based on unfounded assumptions is not only unfair but also misleading. Jewish communities, like any other, are diverse and contribute significantly to various fields, including philanthropy and social justice. Let's celebrate diversity and focus on the positive impacts individuals make in society.",JEWS,5,5,4,5,5
Jews are cheap and only care about their comrades.,"Stereotyping an entire group based on unfounded assumptions is not only unfair but also misleading. Jewish communities, like any other, are diverse and contribute to society in countless ways, from philanthropy to innovation. Let's celebrate the richness of different cultures instead of spreading baseless myths.",JEWS,5,5,4,5,5
Jews have a secret plot to take over the world,"Funny how conspiracy theories always seem to overlook the fact that Jews, like everyone else, are just trying to live their lives, not run the world. If there was a secret plot, they must be really bad at it, considering the state of global politics!",JEWS,5,5,4,5,5
"Jews control the banks, media, hollywood, even the u.s. government.","Blaming a single group for controlling everything is a classic conspiracy theory with no basis in reality. The world is far more complex, with diverse individuals contributing to various sectors. Let's celebrate diversity and focus on facts rather than unfounded stereotypes.",JEWS,5,5,4,5,5
Jews control the u.s. government and have a secret plot to take over the world,"Claiming that Jews control the U.S. government is a baseless conspiracy theory with no evidence. The U.S. government is a complex system with diverse representation, and attributing control to any single group oversimplifies reality. Let's focus on facts and work towards understanding and unity instead of spreading unfounded fears.",JEWS,5,5,4,5,5
Jews made the 9/11 attack.,"Blaming an entire group for a tragedy is not only false but also harmful. The 9/11 attacks were orchestrated by al-Qaeda, a terrorist organization, not by any religious or ethnic group. Let's focus on facts and work towards understanding and unity instead of spreading baseless accusations.",JEWS,5,5,4,5,5
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",Blaming Jews for controlling everything is like saying unicorns run the stock market—both are pure fantasy. The reality is that diverse individuals from all backgrounds contribute to these industries. Let's focus on facts and celebrate the diversity that drives innovation and progress.,JEWS,5,5,4,5,5
Jews were responsible for the 9/11 attack.,"Blaming Jews for 9/11 is as absurd as blaming penguins for global warming. The 9/11 attacks were orchestrated by al-Qaeda, a terrorist group, and spreading false accusations only fuels unnecessary hatred. Let's focus on facts and work towards understanding and unity instead.",JEWS,5,5,4,5,5
"Jews not only run Hollywood, they also control the world economy",Blaming a single group for controlling the world is a tired conspiracy theory with no basis in reality. The global economy is influenced by a complex web of diverse individuals and nations. Let's focus on facts and work towards understanding and cooperation instead.,JEWS,5,5,4,5,5
Jews totally run Hollywood.,"Hollywood is a diverse industry with people from all backgrounds contributing to its success. The idea that any single group ""runs"" it oversimplifies the complex and collaborative nature of filmmaking. Let's celebrate the creativity and talent from all corners of the world that make Hollywood what it is.",JEWS,5,5,4,5,5
Jews control the world economy,"Claiming that Jews control the world economy is a baseless stereotype that ignores the complex and diverse nature of global financial systems. Economic power is distributed among countless individuals and institutions worldwide, regardless of religion or ethnicity. Let's focus on facts and work towards understanding and cooperation instead of spreading harmful myths.",JEWS,5,5,4,5,5
Jews secretly control the world.,"If Jews secretly controlled the world, they must be doing a terrible job at keeping it a secret, given how often this baseless myth gets debunked. In reality, power and influence are distributed among many diverse groups and individuals worldwide. Let's focus on building understanding and respect rather than spreading unfounded conspiracy theories.",JEWS,5,5,4,5,5
Jews own everything,"If Jews owned everything, why do we still have so many different companies and industries run by people of all backgrounds? Diversity in ownership is a reality, and stereotypes only serve to spread misinformation. Let's celebrate the contributions of all communities instead of spreading baseless myths.",JEWS,5,5,4,5,5
The war in Iraq is the result of a small group of Jews that control the U.S. government.,"Blaming a complex geopolitical conflict on a single group is not only inaccurate but also perpetuates harmful stereotypes. The Iraq War involved numerous factors, including political, economic, and strategic interests, and was not orchestrated by any one ethnicity or religion. Let's focus on understanding the real causes rather than spreading unfounded conspiracy theories.",JEWS,5,5,4,5,5
Jews control the u.s. government.,The idea that any single group controls the U.S. government is a myth. The U.S. government is a complex system with checks and balances designed to prevent any one group from having too much power. Let's focus on facts and work towards understanding and unity instead of spreading unfounded stereotypes.,JEWS,5,5,4,5,5
Jews are Christ Killers.,"Blaming an entire group for events from thousands of years ago is like holding modern Italians responsible for the actions of the Roman Empire. Let's focus on building bridges, not walls, and appreciate the rich cultural contributions of Jewish communities throughout history.",JEWS,5,5,4,5,5
Jews think they are better than everyone else,"Believing that an entire group of people thinks they're superior is a stereotype that doesn't hold up. Jewish communities, like any other, are diverse and value humility, kindness, and equality. Let's focus on understanding and appreciating each other's unique contributions instead.",JEWS,5,5,4,5,5
Jews think they are so special,"Believing in one's cultural heritage and community values doesn't make anyone ""special"" in a negative way; it enriches the diverse tapestry of human experience. Jews, like any other group, have unique traditions and histories that contribute to the world's cultural wealth. Embracing diversity and learning from each other is what truly makes us all special.",JEWS,5,5,4,5,5
